Sociedad;Unidad de negocio;Segmento;Cuentas;Periodo;Año;Mes;Cecos;Cebes;Cliente;Material;Moneda;Real Periodo;Descripción cuenta;Volumen;UM;Subcategoria;Moneda;Real Periodo;;-1
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010170;HN-00000303;20013479;Lempiras;1800;Ventas Locales;880;ft3;Oxígeno;Dolares;74.57;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010170;HN-00000306;20013479;Lempiras;450;Ventas Locales;220;ft3;Oxígeno;Dolares;18.64;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010101;HN-00000306;20013495;Lempiras;920;Ventas Locales;145;ft3;Acetileno;Dolares;38.11;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010105;HN-00000324;20013476;Lempiras;1200;Ventas Locales;220;ft3;Argón;Dolares;49.71;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010165;HN-00000324;20013477;Lempiras;6300;Ventas Locales;1800;ft3;Nitrogeno;Dolares;260.98;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010109;HN-00000335;20013491;Lempiras;9300;Ventas Locales;485;LB;CO2;Dolares;385.25;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010105;HN-00000341;20013476;Lempiras;3000;Ventas Locales;440;ft3;Argón;Dolares;124.28;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010170;HN-00000347;20013479;Lempiras;600;Ventas Locales;300;ft3;Oxígeno;Dolares;24.86;;
B005;Gases;Honduras;4011010004;1;2020;enero;;B005010711;HN-00000353;10001909;Lempiras;9600;Otras Ventas;;KG;Consumibles;Dolares;397.68;;
B005;Gases;Honduras;4011010004;1;2020;enero;;B005010711;HN-00000353;20013442;Lempiras;19200;Otras Ventas;;UND;Extintor CO2;Dolares;795.36;;
B005;Gases;Honduras;4011010004;1;2020;enero;;B005010711;HN-00000353;20013444;Lempiras;7250;Otras Ventas;;UND;Extintor CO2;Dolares;300.33;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010109;HN-00000353;20013491;Lempiras;2700;Ventas Locales;15;LB;CO2;Dolares;111.85;;
B005;Gases;Honduras;4011010004;1;2020;enero;;B005010711;HN-00000353;70002372;Lempiras;1050;Otras Ventas;;UND;Consumibles;Dolares;43.5;;
B005;Gases;Honduras;4011010004;1;2020;enero;;B005010711;HN-00000353;90001042;Lempiras;5880;Otras Ventas;;UND;Consumibles Extintores;Dolares;243.58;;
B005;Gases;Honduras;4011010004;1;2020;enero;;B005010711;HN-00000353;110002212;Lempiras;2850;Otras Ventas;;UND;Consumibles Extintores;Dolares;118.06;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010265;HN-00000357;20013489;Lempiras;1520;Ventas Locales;8880.6;L;Nitrogeno líquido;Dolares;62.97;;
B005;Gases;Honduras;4011010004;1;2020;enero;;B005010711;HN-00000366;110002212;Lempiras;180;Otras Ventas;;UND;Consumibles Extintores;Dolares;7.46;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010170;HN-00000379;20013479;Lempiras;14800;Ventas Locales;6105;ft3;Oxígeno;Dolares;613.09;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010101;HN-00000379;20013495;Lempiras;16180;Ventas Locales;2465;ft3;Acetileno;Dolares;670.26;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010170;HN-00000386;20013479;Lempiras;600;Ventas Locales;300;ft3;Oxígeno;Dolares;24.86;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010170;HN-00000396;20013479;Lempiras;720;Ventas Locales;440;ft3;Oxígeno;Dolares;29.83;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010101;HN-00000396;20013495;Lempiras;1780;Ventas Locales;290;ft3;Acetileno;Dolares;73.74;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010138;HN-00000406;20013454;Lempiras;141000;Ventas Locales;9000;UND;Helio;Dolares;5840.93;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010141;HN-00000406;20013458;Lempiras;3960;Ventas Locales;660;UND;Dióxido;Dolares;164.04;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010105;HN-00000406;20013476;Lempiras;78600;Ventas Locales;18480;ft3;Argón;Dolares;3256.01;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010109;HN-00000406;20013491;Lempiras;43680;Ventas Locales;3080;LB;CO2;Dolares;1809.44;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010170;HN-00000409;20013479;Lempiras;450;Ventas Locales;220;ft3;Oxígeno;Dolares;18.64;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010170;HN-00000412;20013479;Lempiras;2800;Ventas Locales;1540;ft3;Oxígeno;Dolares;115.99;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010101;HN-00000412;20013495;Lempiras;1840;Ventas Locales;290;ft3;Acetileno;Dolares;76.22;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010170;HN-00000429;20013479;Lempiras;7800;Ventas Locales;3900;ft3;Oxígeno;Dolares;323.12;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010170;HN-00000441;20013479;Lempiras;900;Ventas Locales;440;ft3;Oxígeno;Dolares;37.28;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010101;HN-00000441;20013495;Lempiras;920;Ventas Locales;145;ft3;Acetileno;Dolares;38.11;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010101;HN-00000443;20013495;Lempiras;5700;Ventas Locales;870;ft3;Acetileno;Dolares;236.12;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010170;HN-00000452;20013479;Lempiras;4000;Ventas Locales;2400;ft3;Oxígeno;Dolares;165.7;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010170;HN-00000459;20013479;Lempiras;7600;Ventas Locales;5700;ft3;Oxígeno;Dolares;314.83;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010101;HN-00000459;20013495;Lempiras;7420;Ventas Locales;1015;ft3;Acetileno;Dolares;307.37;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010105;HN-00000465;20013476;Lempiras;13200;Ventas Locales;2420;ft3;Argón;Dolares;546.81;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010170;HN-00000492;20013479;Lempiras;600;Ventas Locales;300;ft3;Oxígeno;Dolares;24.86;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010138;HN-00000496;20013454;Lempiras;27000;Ventas Locales;1500;UND;Helio;Dolares;1118.48;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010138;HN-00000496;20013455;Lempiras;34400;Ventas Locales;1760;UND;Helio;Dolares;1425.02;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010138;HN-00000496;20013456;Lempiras;22400;Ventas Locales;1155;UND;Helio;Dolares;927.92;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010141;HN-00000496;20013458;Lempiras;5200;Ventas Locales;880;UND;Dióxido;Dolares;215.41;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010170;HN-00000496;20013479;Lempiras;4800;Ventas Locales;4140;ft3;Oxígeno;Dolares;198.84;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010101;HN-00000496;20013495;Lempiras;6230;Ventas Locales;1015;ft3;Acetileno;Dolares;258.08;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010170;HN-00000507;20013479;Lempiras;1350;Ventas Locales;660;ft3;Oxígeno;Dolares;55.92;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010109;HN-00000510;20013491;Lempiras;2700;Ventas Locales;140;LB;CO2;Dolares;111.85;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010170;HN-00000515;20013479;Lempiras;2400;Ventas Locales;1200;ft3;Oxígeno;Dolares;99.42;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010101;HN-00000515;20013495;Lempiras;920;Ventas Locales;145;ft3;Acetileno;Dolares;38.11;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010170;HN-00000526;20013479;Lempiras;450;Ventas Locales;220;ft3;Oxígeno;Dolares;18.64;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010109;HN-00000528;20013491;Lempiras;1050;Ventas Locales;55;LB;CO2;Dolares;43.5;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010170;HN-00000541;20013479;Lempiras;600;Ventas Locales;300;ft3;Oxígeno;Dolares;24.86;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010101;HN-00000541;20013495;Lempiras;920;Ventas Locales;145;ft3;Acetileno;Dolares;38.11;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010170;HN-00000567;20013479;Lempiras;1350;Ventas Locales;660;ft3;Oxígeno;Dolares;55.92;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010170;HN-00000596;20013479;Lempiras;360;Ventas Locales;300;ft3;Oxígeno;Dolares;14.91;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010170;HN-00000599;20013479;Lempiras;450;Ventas Locales;220;ft3;Oxígeno;Dolares;18.64;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010170;HN-00000603;20013479;Lempiras;450;Ventas Locales;300;ft3;Oxígeno;Dolares;18.64;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010170;HN-00000615;20013479;Lempiras;450;Ventas Locales;220;ft3;Oxígeno;Dolares;18.64;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010170;HN-00000632;20013479;Lempiras;2250;Ventas Locales;1100;ft3;Oxígeno;Dolares;93.21;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010109;HN-00000632;20013491;Lempiras;2100;Ventas Locales;110;LB;CO2;Dolares;86.99;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010101;HN-00000632;20013495;Lempiras;1840;Ventas Locales;290;ft3;Acetileno;Dolares;76.22;;
